,0,1,2,3,4,5,6
0,,DANBRAD LTD,,Valued Inventory Stat Report,,Date  : 05/10/2022,
1,,rep_consumo_ant_valor_idl_en,,(Other Months),,Hour  : 12:34:35,
2,,Ver: 201906051200,,Month in Process: 4 - 2022,,Page  :  1,
3,,,Initial,Trans. Account,Actual Usage,Raw Theorical,Amount in $
4,Wrin Number,Description UOM,Inv,Purchases +/- Adjust Adjust Final Inv,(Inventory),Usage (P.Mix)Cond Waste,Stat +/-
5,Company 2,Description DANBRAD LTD,,,,,
6,Store,01 Description MARLBORUGH,,,,,
7,Class,001 Description FOOD,,,,,
8,Category,001 Description FOOD,,,,,
28,132,CONCENTRATED ORANGE JUICE POUCH,"1,078.56","3,680.88 -438  0.00  0.00  998.12","3,323.12","0.00  0.00  5,514.31","-2,191.19"
29,23,CONE CAKE (ICE CREAM) UNIT-EACH,92.82,91.16  0  0.00  0.00  66.50,117.48,0.00  0.00  92.76,24.72
30,2380,CRAN AND RASIN (OATMEAL) UNIT-EACH,105.77,172.16  0  0.00  0.00  108.26,169.67,0.00  0.00  155.98,13.69
31,6043009,Crinkle-cut pickle BAGS,19.87,0.00  0  0.00  0.00  0.02,19.85,0.00  0.00  0.29,19.56
32,11671049,Crispy chicken fillet UNIT-EACH,774.69,"2,161.92  0  0.00  0.00  0.00","2,936.61","0.00  0.00  2,714.86",221.75
33,3268,DECAF PKTS PACKET,59.91,0.00  0  0.00  0.00  11.16,48.75,0.00  0.00  11.22,37.53
34,42,DIET COKE GALLONS,26.75,80.25  0  0.00  0.00  26.75,80.25,0.00  0.00  98.09,-17.84
35,49,EQUAL PACKET UNIT-EACH,11.85,48.00  0  0.00  0.00  23.94,35.91,0.00  0.00  0.00,35.91
36,21,FANTA ORANGE GALLONS,212.10,424.20  0  0.00  0.00  212.10,424.20,0.00  0.00  462.36,-38.16
37,8,FISH FILET UNIT-EACH,279.59,"3,879.12 -105  0.00  0.00  576.63","3,477.24","0.00  0.00  3,138.25",338.99
38,4,FRENCH FRIES POUNDS,"1,388.93","0.00  6,969  0.00  0.00  389.88","7,968.07","0.00  0.00  7,246.79",721.28
39,8498,FZ FOLDED EGG UNIT-EACH,288.58,"1,828.60  0  0.00  0.00  588.58","1,528.60","0.00  0.00  1,375.68",152.92
40,20,GOOMBAY PUNCH GALLONS,272.57,606.00 -61  0.00  0.00  151.48,666.49,0.00  0.00  656.85,9.64
41,2760,HALF HALF MILK - PKT PACKET,340.06,"1,927.53  0  0.00  0.00  816.75","1,450.84",0.00  0.00  0.00,"1,450.84"
42,70,HASH BROWN UNIT-EACH,"1,810.49","4,025.46  0  0.00  0.00  1,499.80","4,336.15","0.00  0.00  1,567.37","2,768.78"
43,33,HOTCAKE SYRUP PACKET,922.86,225.21  0  0.00  0.00  301.42,846.65,0.00  0.00  0.00,846.65
44,5358,HOTCAKES FROZEN UNIT-EACH,722.29,"1,919.45  0  0.00  0.00  793.86","1,847.88","0.00  0.00  1,756.37",91.51
45,51,ICED TEA BAGS 1OZ BAGS,43.07,30.88  0  0.00  0.00  15.43,58.52,0.00  0.00  58.88,-0.36
